"x"
"1" "作者eyespot (追求內心的自在)看板Stock標題[公告] MF888 違反板規1-9-2 警告一次時間Sun Jul 22 00:02:21 2018
主旨：MF888 違反板規 1-9-2 警告一次

說明：經板主巡視看板，查MF888 發文內容，
      違反板規1-9-2，依板規處砍文處份，
      並警告一次，下次違反板規將予以水桶一週

1-9-2.有關研究生問卷調查之文，
      1.  請先站內信經板主之一認可後才可發文。
      2.  內文需說明認可板主、研究者姓名、指導教授與研究單位。
→ Leo4891: 頁岩油業者表示最好你別賣 都跟我買 07/22 12:24
推 a176893: 油價調高，人民幣繼續貶值，中國或成最大贏家 07/22 12:55
推 aegis43210: 中國已經宣布會持續跟伊朗買油，用人民幣 07/22 13:21
→ aegis43210: 當然不知道伊朗想不想收人民幣… 07/22 13:22
→ tctv2002: 伊朗可以用美金計價 來賣油吧 07/22 13:48
→ changmary: 中國會買啊，不會理美國 07/22 15:22
→ kuma660224: 這樣是爽到美國頁岩油。 07/22 15:53
推 jfw616: 伊朗當然收人民幣 07/22 16:22
→ jfw616: 只是收到之後馬上換成美金 07/22 16:22
→ Licaca: 停止出口石油？伊朗自己的經濟恐怕會先崩掉吧 07/22 16:45
→ aadsl: 漲起來，管他誰放話，有錢賺就好 07/22 16:46
推 galusx: 中國：小弟又要跟我買飛機/飛彈了 07/22 17:00
→ mecca: 垃圾川寶要炒油了 07/22 17:38
→ rodney92: 1723 有救嗎？ 07/22 20:46
噓 walter41: 北七寫的不敢署名 07/22 23:37
推 dinotea: 假新聞 07/23 21:32
"
"35" NA
"36" NA
"37" "作者jeromeshih (以謹慎態度來面對問題)看板Stock標題Re: [新聞] 中國現史上最大企業違約 永泰欠108億美元時間Sun Jul 22 10:08:53 2018
中國的債務會和中國的股市有關，如果太多債務違約太多，中國官方又沒夠大的措施就可能讓中國股市長期偏空

一般中國債務組成可能幾個組成，有缺的也請補充
1.國家債
2.地方債
3.央企、國企債
4.民企債
5.銀行貸款

如果一間企業走向
a.用更高利率的債券
b.變賣資產
來償還過去的債務，就可能被捲入債務的黑洞內，甚至破產

然後中國中國之前的金融秩序例如影子銀行、P2P借貸等相關的管制也不多，因此也是亂像叢生

地方債償還的意願也不高
參考
https://www.upmedia.mg/news_info.php?SerialNo=41592

但如果中國透過幾個方式，例如：
i.針對重要產業採取操作國進民退方式
ii.讓國內大企業進行垂直整合
iii.放倒一些債務過多的企業
iv.放倒借貸過多的影子銀行、P2P借貸等
v.重要的城市救，不重要的就放倒

如此是否可以將債務轉到特定的縣市、企業、金融機構，然後就讓這些倒

真的無法轉移的再透過發行更長期的債或者印鈔解決

當然還是會痛，但如此是否能夠斷尾求生，避免產生系統性的金融風暴呢

還是真的債務規模太龐大，現在已經沒得解，只能看哪時候爆

不知有人能說明一下嗎

※ 引述《opthr1215 (天天)》之銘言：
: 注意，本篇新聞來源為大紀元
: 不可信論者請左轉離開
: 1.原文連結：
: http://www.epochtimes.com/b5/18/7/19/n10575575.htm
: 2.原文內容：
: 中國現史上最大企業違約 永泰欠108億美元巨債
: 【大紀元2018年07月20日訊】（大紀元記者秦雨霏編譯報導）中國本月出現一宗史上最大
: 企業違約。一家掀起信貸巨浪的煤炭公司倒下了。
: 彭博社報導說，永泰能源公司在五年內債務增長了四倍。永泰如何欠下722億元人民幣（
: 108億美元）巨債的故事說明了為什麼今年將是中國企業違約最嚴重的一年。
: 永泰最初的計劃是，通過借錢收購和擴張。隨著借貸成本在2014年暴跌，永泰大肆借錢。
: 但是事情在2016年開始改變，當時北京當局開始強調遏制金融風險。
: 現在，永泰成為今年迄今最大的違約企業。它本月對114億元人民幣的債券違約。
: 7月5日，永泰發生15億元人民幣債券違約，觸發13隻其它債券的交叉違約，總額達到99億
: 元人民幣。永泰股票被停牌。
: 永泰一名匿名官員告訴彭博社，中國改變的金融環境對該公司產生很大影響。該公司試圖
: 籌集新的債務來償還現有債務，並在出售資產。
: 永泰不是唯一一個背負沉重債務的公司。中國國內債券市場現在達到12萬億美元規模。政
: 府鼓勵公司使用債券融資，以便減少對國有銀行的依賴。
: 但是問題是，購買債券的公司在信貸研究上缺乏經驗。本地信貸評級公司對不同借款人也
: 沒有區別對待。在2014年政府允許違約之前，評級公司也從不對借款公司做調查。
: 「中國的經濟增長基本上是受到債務驅動，它的企業債務看起來像是一場龐氏騙局。」國
: 泰君安證券公司首席固定收益分析師韓琴（音譯）說，「更多公司可能放棄償還債務，如
: 果它們遭遇財務困難。」
: 隨著中共當局採取措施打壓影子銀行、遏制槓桿、提高貨幣市場借貸利率、收緊對資產管
: 理行業的監管，企業們財務困難加劇。
: 永泰在2016年發行100億元人民幣債券，在2017年再發行100億元人民幣債券。但是今年它
: 只賣出36億元人民幣債券，儘管它的一年期債券收益率從前年的4.5%飆升到如今的7%。
: 永泰的倒下可能將發生在其它企業身上。截至2017年末，中國上市公司的債務股本比攀升
: 到99.5%，這是十年來最高。#
: 3.心得/評論：
: 有中國鄉民說這次中國央行跟中國財政部吵架的原因是，
: 央行想緊縮，因為債務快爆了，一堆企業借了錢&地方政府還不起，
: 然後財政部的政策卻還是寬鬆政策。
: 所以兩邊就吵起來了。
: 我覺得有點像大躍進時期，
: 沒人敢說真話，大家都在比誰種的東西、煉的鋼產量高，
: 直到彭真跟毛澤東說主席錯了......
: 但問題是財政部也不敢緊縮啊，
: 誰敢關掉水龍頭？
: 話說，我剛剛逛到這篇文章：
: http://money.163.com/18/0719/08/DN2JOGJV00258169.html
: 我還沒看完，不過看起來......好像是跟華美有點像的東西？
: 話說，新聞裡面有句：
: 到止前為止，永泰能源的股票質押率已經99%，定增融資221億，
: 公司債融資超過150億，15億短融違約。
: 厲害了，質押率99%，到底誰會是冤大頭呢XD


-----
Sent from JPTT on my Sony G8142.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.137.138.20
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532225340.A.5EA.html
→ patrol: 我看中國自己都不清楚洞有多大 只要每個人都藏個小洞... 07/22 10:19
→ patrol: 就像當兵時, 長官也絕對不清楚裝檢時的裝備 是從哪借來的 07/22 10:20
→ patrol: 你借我用用 我借你用用 看起來好像每個地方都裝備精良... 07/22 10:21
→ bitlife: 其實債務爆不爆真的不是重點,而是引發債務危機背後的本質 07/22 10:37
→ bitlife: 性問題-「成長性趨緩」,會不會進一步引發「長期性衰退」 07/22 10:38
→ bitlife: 美國是用QE轉嫁世界把衰退儘快救起來沒變成大蕭條,之後才 07/22 10:38
→ bitlife: 恢復成長. 中國外匯管制一刀兩刃,避免資金外逃,但也減少 07/22 10:39
→ bitlife: 外溢轉嫁能力. 當然最後還是會經由貿易方式外溢到其他國 07/22 10:40
→ bitlife: 家就是 07/22 10:40
→ bitlife: 另外人民幣本身就算不管制,因為國際化不足,本身外溢轉嫁 07/22 10:41
→ bitlife: 能力也遠低於美國,所以採取資金管制可以理解.後果就慢慢 07/22 10:42
→ bitlife: 觀察 07/22 10:42
→ kausan: 會暴動 07/22 11:08
→ hijacker: 老共每次股票大跌 債務危機都會被拿出來鞭 07/22 11:29
推 WTF55665566: 現在支那官方也是希望債務轉嫁民間以後再給他倒來化 07/22 11:56
→ WTF55665566: 解 但這又會產生其他問題 比如維穩成本的上升 甚至 07/22 11:56
→ WTF55665566: 威脅政權本身 07/22 11:56
推 Smile365Day: 酸民都自認自己比對岸專家強 07/22 12:05
推 fablife: 這說要爆很久了，不知道啥時才會爆，爆掉也好，台灣一片 07/22 12:13
→ fablife: 光明，趕快全民學英文做國際生意 07/22 12:13
推 a176893: 外匯管制和股票低迷，最好的投資和保值產品就是房地產 07/22 12:44
推 a176893: 加上中國房價一年漲10%以上，很多企業寧願把錢丟到房產 07/22 12:49
→ a176893: 上也不願意做生意 07/22 12:49
→ a176893: 債務在房價泡沫前是小事情 07/22 12:51
→ a176893: 至於人民幣國際化是假議題，外匯管制是要怎麼國際化 07/22 12:52
推 aegis43210: 民營企業可以強制由商業銀行購買他們的公司債 07/22 13:45
→ aegis43210: 人行再以MLF或降存準率等方式幫助商業銀行 07/22 13:46
→ aegis43210: 國營企業可以強制債權人債權轉成股權，之後國營企業再 07/22 13:47
→ aegis43210: 發可轉換公司債來獲得資金並稀釋股份，最後再減資 07/22 13:48
噓 hh800315: 我只知道喊中國債券崩潰已經喊快十年了 07/22 14:01
→ reon: 中國房價才是真正的炸彈..如果爆了會很慘 07/22 14:06
→ reon: 什麼都救不了 07/22 14:07
推 kynoko: 爆了也不會怎麼樣啊，就民間財產蒸發，他們人民敢怎麼樣 07/22 14:12
→ kynoko: 嗎哈哈 07/22 14:12
推 david31408: 美國這招要讓人民幣貶值 加速共產黨通膨 印鈔票 07/22 14:12
→ david31408: 人民幣只能在牆內流動  所以就民生通膨 07/22 14:13
→ david31408: 一帶一路就是要讓人民幣外溢  但GG 07/22 14:14
→ david31408: 其實最好消化人民幣的方式是研發  不是物業 07/22 14:15
→ david31408: 估計香港這次會死很慘 07/22 14:16
推 david31408: 當外資匯入美金的意願變小的時候  共產黨也只能賣美債 07/22 14:19
→ david31408: 或動外匯存底 07/22 14:19
推 darktasi: 開大招債轉股解決 07/22 16:02
推 schooldance: 債轉股+1 07/22 16:22
推 UltraSeven: 共產黨沒這麼團結啦 上述任何一個問題爆掉 07/22 16:26
→ UltraSeven: 鬥爭就開始了~ 人民是上層拿來當鬥爭砲灰用的 07/22 16:26
→ UltraSeven: 說不會怎樣的人 應該先去看一下中共歷次政治運動 07/22 16:27
→ UltraSeven: 現在習包子治國不行 但鬥爭可是一把罩 會不會玩火自焚 07/22 16:28
→ UltraSeven: 那就不知道了~ 我只知道今年是戊戌年 XDDDDD 07/22 16:29
→ UltraSeven: 戊戌政變以後就八國聯軍了 XDDDDD 07/22 16:29
推 jason121: 匪區把債務包裝成一個個綁架市場開放的金融商品，半強 07/22 16:34
→ jason121: 迫讓那些為錢可被捅畜的傢伙買，你倒替桶畜們多慮了。 07/22 16:34
推 jason121: 所以 他們的人 才會一直推上證啊 07/22 16:39
推 WTF55665566: 一直推上證吸引盤子上當 07/22 19:11
推 q1685000: U姊好有學問呢! 求認識! 07/22 20:37
"
"38" NA
"39" NA
"40" "作者IzumiKonata ( )看板Stock標題[新聞] 光學股買盤湧入 揚明光及佳凌攻頂 玉晶光挑戰重回500元關卡時間Sun Jul 22 10:12:26 2018
1.原文連結：
https://news.cnyes.com/news/id/4169990

2.原文內容：

光學股買盤湧入 揚明光及佳凌攻頂 玉晶光挑戰重回500元關卡

光學股今天持續成為多頭買盤進駐，包括揚明光 (3504)、佳凌(4976) 均攻上漲停，今國
光 (6209) 及聯一光 (3441) 也有上漲逾半根停板，玉晶光 (3406) 也重回 500 元大關
，整體光學股走勢表現亮眼。光學股近期題材不斷，包括募資及看好後市大舉擴產，法人
指出，光學股近期買盤增溫，不過要出現一波行情走勢還需要營收明顯跳增，而下半年進
入產業旺季，包括大立光(3008)7 月比 6 月好，8 月又比 7 月佳，外資已喊出股價有機
會上看 6 字頭。

玉晶光依往年慣例，第三季及第四季都會比上半年好，整體今年光學股買盤營運可望優於
去年。佳凌 (4976) 預期下半年獲利會比上半年好。

下週包括揚明光及亞泰 (4974) 相繼召開法說會，揚明光看好今年營運成長幅度優於去年
，主要營運成長動能包括智能家居、微投影模組、3D 感測及工業光學模組等四大領域；
其中，微投影模組今年營收將有兩位數成長。

亞泰第二季業績不僅優於首季，也會與去年同期歷史次高相當，今年仍是逐季成長至第三
季，全年業績可望維持去年新高水準。

3.心得/評論：
先別管被動了 熱錢都轉到二線光學股了
大哥邁向6000 眾小弟跟著沾光

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 112.104.114.114
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532225550.A.C07.html
推 m4vu0: 佳凌上看80 07/22 10:14
推 andbu558: 出貨了 07/22 10:16
→ sandwich1028: 本週漲光學 07/22 10:18
→ kmchen: 炒完被動換炒光學，利多出來再騙散戶去接光學 07/22 10:20
→ purin3333: 投顧老師人手一張 07/22 10:23
→ cmcmisgod: 光學類股前面還不是都山  還是等有業績被動比較實在 07/22 10:23
推 sunnyhung: 被動遲早會主動的 07/22 10:26
推 zakijudelo: 被動漲上來，主動跌下去？XD 07/22 10:40
推 manpower1216: 出貨囉～～ 07/22 10:40
噓 meltdown: 發新聞隔天出貨用不膩喔，來點新招吧 07/22 10:41
推 chimpenty: 反彈就是套散戶用的 去年就是這樣 07/22 10:50
推 sam0330: 出貨文～還好華晶科沒被點名 07/22 11:01
→ Altair: 這不就外銷訂單減最多的類股... 07/22 11:09
推 ggfinger: 沒基本面漲到120 騙很大 07/22 11:14
推 Bv999: 出貨文 07/22 11:15
→ Kmer: 光學跌深反彈 要快點陶喔 07/22 11:25
推 NSKB: 光光炒起來？ 07/22 12:20
推 SDCREW: 漲停隔天先來一根黑k 07/22 12:20
→ NSKB: 趁散戶套在被動趕快拉一波，都散戶解套再來套在光光… 07/22 12:22
推 alwaysalone: 給亞泰一點支持好嗎!!持續成長股價這麼低說得過去嗎! 07/22 12:22
→ ornv: 沉啃哥還敢嘴光燿科嗎 07/22 12:49
→ horse2819: 空 07/22 12:55
推 PeikangShin: 隔海的都開始在放量了，營收越來越高喔~自己挑好飆 07/22 12:57
→ PeikangShin: 股^^ 07/22 12:57
推 AGODC: 再上來一點，最好爆大量，這樣我比較敢空 07/22 13:02
推 cerwvk: 昨天才觀察4976, 今天就看到這篇. 該說還好我沒上車? 07/22 13:04
推 cates: 營收出來就科科了～ 07/22 13:11
推 Mountain168: 華晶科多少可以買？ 07/22 13:30
→ cocolo60: 我怎麼夢到+0崩崩 07/22 13:33
→ Kayusumi: 我在月均那邊買了張華晶科 不知道如何 07/22 14:37
→ vinsmoke66: 這個基本面... 去年好像也這時候炒光學? 07/22 14:38
推 aadsl: 光學就是漲起來空的，空單賺錢很容易 07/22 16:44
推 ggfinger: 反正空單沒回補壓力 看誰撐著 07/22 19:03
推 dash0804: 大夥進攻摟 07/22 21:08
→ Arjuju99: 出貨文 07/22 23:40
推 DANIELDAN110: 3504直衝160！ 07/22 23:43
"
"41" NA
"42" NA
"43" "作者ckcck (ckcck)看板Stock標題Re: [心得] 還敢買銀行股嗎??時間Sun Jul 22 10:57:47 2018
本週金融期漲了 但您有賺錢嗎?

版上從推文看出很多只是嘴泡單

先來看些新聞
http://www.chinatimes.com/newspapers/20180716000234-260202
台債10年期殖利率 連10跌

http://ec.ltn.com.tw/article/breakingnews/2495261
5大銀行房貸利率1.624％ 創下歷史次低

奇怪 央行沒再降息 怎麼利率一直掉

10年公債只有0.84%  10年公司債1.1%還有一堆銀行在買

我自己最近聽到銀行開的利率 信貸2.6 房貸1.5%

真不知道銀行要怎麼賺錢

有人笑空金融還不是賠錢

是阿 但我沒說只有空金融阿

你要想到 利率一直降 誰受利了?

借錢的企業 利息費用下降 本業不用成長 獲利就可以增加

這時候就可以用 多台指 + 空金融策略

本週台指績效大勝金融 我很開心

不知道有無版友跟我對作多的有無賺錢呢?

希望下週能有多些人來對作 我有比較好的價可以建部位




※ 引述《coober ()》之銘言：
: 別的不講
: 光講升息部分 就錯誤百出
: 銀行的存款有分活存跟定存
: 通常都是73比  有的甚至是82比
: 定存利息1% 那只占一部分而已
: 目前各銀行的資金成本 大概都落在0.4 ~ 0.6%之間
: (這已經是把各種管銷成本都算進去了的數字)
: 而貸款卻是照定存利率去加碼的
: 所以若升息的話  貸款利息跟著變多
: 但銀行資金成本卻不是等比例調升 而是定存部分上升 活存部分繼續這麼低
: 這是有利差的
: 比如定存1% 放款出去+1% 貸款利息就是2%
: 銀行因為有大量低利活存  所以資金成本是0.5%
: 算下來利潤是1.5%
: 當今天升息到定存2%時  這筆貸款利息就變成2+1=3%
: 資金中定存部分利率拉高 但活存不變  此時資金成本約0.75%
: 於是那這筆貸款利潤就變成是 2.25%
: 總之呢~
: 升息時 是否有其他問題導致會虧損我並不知道
: 但放款這塊  獲利是一定會上升的

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 220.133.9.187
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532228271.A.1A5.html
噓 Kobe5210: 那請教一下15家金控獲利一直年增的原因是?? 07/22 11:01
→ y1896547: 你會上色欸  好猛喔 07/22 11:04
→ ckcck: 一樓的可以去看IFRS9的影響數,各家財報都有,看不懂GOOGLE 07/22 11:04
噓 pxo: 原來是唱衰金融大師阿 貼個對帳單來看看 07/22 11:04
噓 popgsct: 上週空被動都比空金融有肉 07/22 11:05
推 echw: 嘴巴空 其實我也會哈哈哈 07/22 11:05
→ ckcck: 還是老話: 歡迎對做 真心不騙 07/22 11:05
→ echw: 那你做了什麼 貼來看看 只是發發嘴炮文 07/22 11:07
噓 HenryLin123: 多台績 空國巨 更賺 但是這週我不知道 07/22 11:08
→ HenryLin123: 台積 07/22 11:08
噓 dppsuck: 請問可以解釋銀行獲利年增了沒? 07/22 11:09
推 f204137: 歡迎台企銀跟我對做 07/22 11:11
噓 cmcmisgod: 你在嘴自己嗎 笑死.. 07/22 11:12
推 kutkin: 銀行獲利是之前的成果，股票是看未來 07/22 11:13
噓 HenryLin123: 去年4月空壽險 停損了嗎 07/22 11:13
噓 xu3: 只要玉山哥還在我就不怕 07/22 11:18
噓 z904612: 嘴砲空金融    對帳單在哪 07/22 11:19
噓 Kobe5210: 你一直看空,也解釋不出為何人家財報獲利一直增加... 07/22 11:21
噓 pig6033666: 還是一句老話，沒對帳單你當版友這麼好騙？ 07/22 11:28
→ pig6033666: 騙人的會不得好死哦 07/22 11:28
噓 z71954011: 想賺價差的人不會買金融好嗎？買金融都馬是不想賣久放 07/22 11:29
→ z71954011: 到0成本，一直領股利，想做短期價差的請去找其他飆股來 07/22 11:29
→ z71954011: 比阿！這就跟都幾十歲的人了還去找小學生比腕力一樣好 07/22 11:29
→ z71954011: 笑 07/22 11:29
噓 pxo: 看到這篇被噓翻 我就放心了 嘴砲單之風不可長阿 07/22 11:31
噓 z71954011: 百米選手嗆長跑選手你跑好慢喔一樣的概念 07/22 11:35
推 f204137: 這篇讓我想到2年前TRF 傳出一堆銀行踩坑 事後看絕佳買點 07/22 11:35
→ oplk: 我今年作價差的選擇就是金融......年化隨便都屌打久放= = 07/22 11:50
噓 ESunBoy: 鴿..都積少成多，少喝一杯珍奶，可以買2股玉山金 07/22 11:52
噓 pupuliao: 可是 我買的金控股都在賺錢ㄟ 07/22 12:01
噓 pupuliao: 你都看空金融了，金融期漲 你當然賺不到錢啦 07/22 12:03
→ pupuliao: 元大金 這三個月 小賺5% 玉山金 這個月 應該也可以 07/22 12:04
噓 Federer4ever: 怎麼又是你啊 你到底要po幾篇… 07/22 12:24
推 zxcjeff: 銀行股買了10年 配息加利差50% 07/22 12:30
推 vol6sim: 看ifrs9的影響數來稀釋掉金控的獲利一說，你怎麼不去看 07/22 12:37
→ vol6sim: 扣掉ifrs9對信用預期損失直接帶來的影響跟原本用oci去規 07/22 12:37
→ vol6sim: 避的損失 07/22 12:37
噓 pxo: 樓上打臉太專業 我想他會跳針無視 07/22 12:46
推 jainanmau: 金融買了就放著嗎...三年前買著放著也有40幾趴 07/22 13:00
推 soulrose40: 整理重點：續買就對了 07/22 13:01
噓 jason91818: 妳知道銀行賺什麼嗎？外行欸 07/22 13:35
噓 chewthelife8: 謝謝你如此看壞 07/22 13:36
推 ktlin: 有勇氣 07/22 13:37
噓 kipi91718: 繼續空阿加油 07/22 13:39
噓 F93935: 有啊我玉山金賺錢 07/22 14:01
噓 gasol94109: 空了什麼也不貼出來看看 07/22 14:18
→ gasol94109: 只會歡迎人家對做，是想要害人？ 07/22 14:18
噓 pxo: 路過再來噓一次 07/22 14:38
噓 ESunBoy: 好棒棒cccc 07/22 15:52
→ fattyeddie: 房貸1.5%，可以問哪家這麼佛嗎？ 07/22 17:12
噓 wantyoufly: 房貸沒有1.5%的，只有1.44%、1.74%青年首購 07/22 17:49
噓 g0930: 想知道哪家房貸1.5? 07/22 18:04
噓 chiaolin: 嘴砲 07/22 18:22
噓 dos1019: 利率低又怎樣 銀行照賺好嗎 07/22 18:45
噓 MRFROG: ？ 07/22 19:08
噓 dkforever: 跟著噓 07/22 19:42
噓 ddog75: 金控又不只只有銀行 想要嗆請準備好功課 07/22 20:37
噓 SAS: 是只有我覺得這人口氣跟01版勇者無懼2.0好像嗎 07/22 21:06
推 godhand3: 1.5趴還不是照賺 反正是幾乎無本生意 07/22 23:14
→ godhand3: 喔喔按錯補噓 07/22 23:14
推 jason86188: 房貸能談 基本你在銀行的流動資金夠多 他們都會願意 07/23 13:55
→ jason86188: 降  但會有條件 07/23 13:55
推 UniquePtt: 能多空一些玉山金嗎？現在好高買不下手 07/23 16:03
噓 adata5678: 在刷存在感 07/23 18:27
"
"44" NA
"45" NA
"46" "作者pickchu22001 (天啊~無薪假~)看板Stock標題Re: [新聞] 衛冕者郭哲榮 選禾伸堂華新科時間Sun Jul 22 11:19:48 2018
※ 引述《YesManRoger (羅傑先生)》之銘言：
: 借題講ㄧ下古
: 很多人看衰被動下場=6150
: 6150 我們家有交幾顆料
: 股價卻到400多
: 這合邏輯？
: 最高點隔天後直接下山
: 等殺光後剩下散戶在互相取暖
: 體質偏弱的
: 真的飆ㄧ波後7天見
: 最近有小漲的情況
: 不怕死的繼續來
: 當時有位新朋友被套在高點
: （他前段小賺）
: 很慌張
: 趕快上PTT股版研究如何止血？
: 1.ㄧ張不賣佛系投資法
: 2.壯士斷腕法
: 3.抄底攤平大法
: 4.本多忠勝法
: 大家猜他用哪種？
: Ans:3
: 越抄越底
: 300多的股價
: 攤平三次沒成功
: 直接畢業（-3xx)


  我也藉這個標題來問一下, 新政府上台,股市衝萬點.理論上許多人都賺錢,版上很 High

一堆賺錢好容易,傻多無腦賺. 請問定義的賺錢是啥呢? 未實現損益? 已實現損損益?

而且爽成這樣,到底是賺多少錢? 有時看到賺幾千,甚至幾百就高潮,讓我挺納悶的..

  未實現損益,不用講.完全就是一個紙上富貴的概念. 已實現損益,請問你會選擇出金領出

來花,還是留在集保帳戶,投入其他股票? 前者,恭喜你,把數字轉換成有形的物品或是無形

的快樂,有換到東西. 後者,那依舊和未實現損益概念一樣.

  今年二月過後,操作難度增加. 許多以前的飆股,很多都人走茶涼,用回檔就買進法,可能

就住進高級套房. 像是擁有超強 IP 的天堂 M, 一堆信徒嗆人不懂天堂. 看看股價,嗯最高

點真的像在天堂. 上市後一去不復返.版友提到的顯卡族群,就不多說了.


  被動會不會是下一棒?

光碟股,還有版上熱度高的電鍋?<== 目前看來是還未走完,是否會是下下一棒?


  版上前輩提過,賺到的錢拿來花才是真賺錢. 股市待得越久,越能體會這句話是真理.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.228.228.225
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532229592.A.11C.html
推 Kmer: 會說操作難度高的都馬是賠錢 有賺錢的都馬在旅遊度假了 可憐 07/22 11:24
推 Mr30cm: 會買的徒弟，會賣的是師父。 錢沒放在戶頭裡爽爽花，一切 07/22 11:31
→ Mr30cm: 都是假的～ 07/22 11:31
推 hune: 很多人買10張 股票漲一倍就出脫5張把本金拿回 剩下的都是多 07/22 11:31
→ hune: 賺的 很難賠錢的操作方式 07/22 11:31
推 Csir: 賠了出國的錢 07/22 11:31
推 Mathefucker: 噗哧 賺到已經買賓利了 07/22 11:32
→ hune: 但不管怎麼樣的操作方式 重點還是要走股市多頭才容易賺 07/22 11:33
→ Dxperado: 去年賺的都賠光了，仔細想想應該就好就收的，買車也爽 07/22 11:34
推 acecup: 把未實現損益當成真的錢,已實現損益賺的錢不保留部分,全部 07/22 11:52
→ acecup: 再投入股市都是笨蛋! 07/22 11:52
推 alberchi: 今年初以前進的賺，最近幾個月才進的肯定大多賠 07/22 12:22
→ alberchi: 一直吹捧小英多會的，秀一下這兩個月單子來看啊 07/22 12:23
推 alberchi: 最後一棒都要開始接棒了，還在上萬點很了不起政績 07/22 12:24
→ alberchi: 加權指數也能當飯吃，遲早吃屎 07/22 12:25
推 hune: 是沒很了不起 但比起前任搞證所稅把股市搞死強多了 07/22 12:56
推 z5137964: 這一兩個月中小型股很慘啊，弄半天今年績效又歸零... 07/22 12:56
→ hune: 資金的流動性強 是經濟活絡的重要因素 07/22 12:56
推 cocolo60: 賺錢的都去度假了，財富自由了，會在這留言的90%都賠錢 07/22 13:33
→ cocolo60: 或是嘴砲單賺錢 07/22 13:33
推 mainsa: 之前的低能證所稅 先不提8500天險好了 光成交量腰斬就短徵 07/22 13:49
→ mainsa: 多少稅了? 現在成交量拉到當時兩倍以上 政府光這部分的稅 07/22 13:49
推 alberchi: 懷舊完就看看自己這一兩個月單子吧 07/22 13:50
→ mainsa: 就多收多少? 史上最長萬點 股民有沒有賺錢根本沒差 政府有 07/22 13:50
→ mainsa: 穩定稅收最重要 另外 來股板只是閒著沒事而已 畢竟我多數 07/22 13:50
→ alberchi: 馬囧三小的都是過去式，再來怎麼玩才不賠錢? 07/22 13:51
→ mainsa: 買etf 根本不碰個股 之前手癢買了一堆 結果根本抱不住 漲 07/22 13:51
→ mainsa: 一段又小跌之後就會嚇到馬上出掉 雖然是有不少已實現獲利 07/22 13:51
→ mainsa: 啦 但也讓我更看清我不是合買個股 現在就是抱著一些死不賣 07/22 13:52
→ mainsa: 看最多能跌多少(雖然等很久都不跌) 順便鍛鍊心智 07/22 13:52
推 albertab: 同意! 賺錢要會花才有意義。1.定額捐款2.犒賞自己&家人 07/22 13:58
推 AGODC: 有賺慢慢賣才是王道，2月股災本來未實現+9萬，隔天開盤-8萬 07/22 14:17
→ AGODC: ，後來就等保守做，有賺慢慢賣 07/22 14:17
推 waitsun2010: 小英當沖減半就是屌打馬的證所稅 兩任股市天差地遠 07/23 01:50
→ simo520: 賓利業績成長速度很快 07/23 06:56
"
"47" NA
"48" NA
"49" "作者GoOdGaMe (GG)看板Stock標題[新聞] 周冠軍陳立委 看好TPK致伸時間Sun Jul 22 11:20:35 2018
周冠軍陳立委 看好TPK致伸

上周戰報

「股市奔雷手」陳立委上周的投資組合雖然下跌6.19%，不敵大盤0.62%的漲幅，但因為較
為抗跌而打敗其他參賽者，登上周冠軍，虛擬資產則縮水到452萬元。

他上周的六檔持股中，以力山（1515）漲12.7%最強，主要受惠於法人持續買超，這也是
他持股中唯一收紅的個股。但被動元件拉回修正，鈞寶大跌28.3%，拉低投資組合績效。

本周布局

在新的一周，陳立委不留任何現金，投資個股數目維持在六檔。這六檔個股都是全新配置
，沒有任何續抱股。

在新的投資組合中，他最看好TPK-KY宸鴻，配置兩成資金，主要是看好蘋果新iPhone手機
拉貨可望在8月啟動，供應鏈進入拉貨高峰期，第3季營運可期，今年營收將先蹲後跳。

還有三檔個股也是配置兩成資金。致伸切入車用鏡頭模組，本季營收看增；佳凌受惠車用
鏡頭需求強勁，未來看好；神盾光學指紋辨識IC打進諾基亞。

另外，兩檔個股各配置一成資金。宏達電與英特爾合作的Vive技術持續擴大市場；同集團
的威盛搶攻布局人工智慧，逐步出現成果。


心得 :

這個比賽是比誰輸得少嗎 ?  冠軍績效也是負的

想想看 你要什麼樣的分析師

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.46.130.61
※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1532229637.A.8E1.html
→ a24285293: 全部跌... 不愧是股市大富翁 07/22 11:22
→ s72005ming: 立委? 07/22 11:23
推 f204137: 投顧老濕有幾個會買台積電? 07/22 11:28
推 fox1986: 又先蹲後跳了，蹲到腳都麻了，怎麼跳 07/22 11:29
推 joe2: 邱議員您好 07/22 11:35
